Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,58.770000,58.770000,58.080002,58.220001,55.376732,1620100
2019-11-27,58.230000,58.250000,57.830002,58.110001,55.272106,1212700
2019-11-29,57.740002,57.810001,57.439999,57.610001,54.796524,807000
2019-12-02,58.000000,58.040001,57.310001,57.400002,54.596779,1547500
2019-12-03,56.590000,56.700001,56.209999,56.439999,53.683659,1980100
2019-12-04,56.939999,57.119999,56.820000,56.910000,54.130711,1495500
2019-12-05,56.959999,57.090000,56.490002,56.549999,53.788288,1520200
2019-12-06,57.259998,57.680000,57.189999,57.389999,54.587265,1814800
2019-12-09,57.340000,57.630001,57.169998,57.299999,54.501659,1523600
2019-12-10,57.540001,57.590000,57.240002,57.340000,54.539711,1417500
2019-12-11,57.250000,57.500000,57.080002,57.310001,54.511177,2268900
2019-12-12,57.330002,57.889999,57.250000,57.599998,54.787010,3528100
2019-12-13,57.930000,58.150002,57.279999,57.410000,54.606293,2302400
2019-12-16,58.500000,58.630001,58.119999,58.340000,55.490871,2467800
2019-12-17,58.990002,59.270000,58.830002,59.029999,56.147171,5526000
2019-12-18,59.410000,59.759998,59.240002,59.310001,56.413502,4693400
2019-12-19,59.900002,59.950001,59.680000,59.740002,56.822502,2632800
2019-12-20,59.349998,59.430000,58.919998,59.090000,56.204247,2626500
2019-12-23,58.939999,59.599998,58.880001,59.580002,56.670319,1751900
2019-12-24,59.560001,59.799999,59.549999,59.759998,56.841526,1178900
2019-12-26,59.650002,60.110001,59.610001,59.900002,56.974689,982700
2019-12-27,60.340000,60.369999,60.040001,60.099998,57.164917,1492200
2019-12-30,59.950001,60.040001,59.549999,59.630001,56.717880,1688700
2019-12-31,59.520000,59.990002,59.520000,59.970001,57.041267,1169000
2020-01-02,60.369999,60.689999,60.119999,60.680000,57.716595,1557200
2020-01-03,60.779999,61.419998,60.759998,61.330002,58.334850,3229200
2020-01-06,61.970001,62.270000,61.730000,61.980000,58.953110,2316400
2020-01-07,61.380001,61.540001,60.930000,61.520000,58.515572,2339400
2020-01-08,60.959999,61.009998,60.540001,60.910000,57.935360,3524400
2020-01-09,60.500000,60.869999,60.099998,60.770000,57.802200,2063300
2020-01-10,60.470001,60.470001,60.070000,60.090000,57.155407,1692500
2020-01-13,59.900002,60.259998,59.639999,60.160000,57.221985,2947100
2020-01-14,60.060001,60.310001,59.759998,60.279999,57.336124,2080700
2020-01-15,60.310001,60.490002,60.020000,60.419998,57.469288,2392200
2020-01-16,60.540001,60.650002,59.849998,60.139999,57.202965,3215300
2020-01-17,60.000000,60.049999,59.759998,59.790001,56.870064,2898900
2020-01-21,58.990002,59.020000,58.529999,58.549999,55.690617,6330000
2020-01-22,58.740002,58.750000,58.279999,58.459999,55.605007,4405200
2020-01-23,58.139999,58.650002,57.799999,58.570000,55.709641,2689300
2020-01-24,58.660000,58.680000,58.180000,58.459999,55.605007,2195400
2020-01-27,57.259998,57.549999,56.849998,57.110001,54.320938,3353600
2020-01-28,56.759998,56.959999,56.669998,56.779999,54.007057,4860500
2020-01-29,56.500000,56.570000,56.060001,56.320000,53.569523,4219900
2020-01-30,54.900002,54.970001,54.119999,54.849998,52.171310,5247400
2020-01-31,53.770000,53.939999,53.000000,53.279999,50.677986,5260200
2020-02-03,52.340000,52.470001,51.580002,51.689999,49.165634,6117200
2020-02-04,52.650002,52.980000,52.279999,52.349998,49.793404,4105500
2020-02-05,53.500000,53.619999,53.180000,53.410000,50.801636,4830300
2020-02-06,53.160000,53.180000,52.369999,52.529999,49.964611,4345900
2020-02-07,52.139999,52.290001,51.950001,51.990002,49.450985,3677300
2020-02-10,51.680000,51.799999,51.490002,51.790001,49.260754,3212100
2020-02-11,52.330002,52.770000,52.169998,52.709999,50.135822,3146200
2020-02-12,53.320000,53.779999,53.160000,53.680000,51.058453,4213000
2020-02-13,51.919998,52.060001,51.580002,51.709999,50.061291,3693900
2020-02-14,51.450001,51.509998,50.860001,51.320000,49.683727,3579800
2020-02-18,50.709999,51.139999,50.639999,51.029999,49.402973,2824800
2020-02-19,50.799999,50.990002,50.630001,50.880001,49.257755,3900500
2020-02-20,50.419998,50.619999,50.009998,50.049999,48.454216,5082200
2020-02-21,49.580002,49.639999,49.180000,49.509998,47.931431,6441400
2020-02-24,47.279999,47.759998,47.139999,47.540001,46.024246,8811600
2020-02-25,47.419998,47.490002,45.959999,46.200001,44.726971,6275900
2020-02-26,46.570000,46.830002,46.259998,46.320000,44.843143,7809400
2020-02-27,45.099998,45.490002,44.060001,44.139999,42.732651,10898400
2020-02-28,43.169998,44.540001,42.279999,44.529999,43.110218,10335000
2020-03-02,44.369999,45.220001,43.750000,45.160000,43.720127,6713400
2020-03-03,45.900002,46.299999,43.860001,44.060001,42.655201,9045800
2020-03-04,45.500000,45.660000,44.910000,45.650002,44.194508,3686400
